job_id,window_idx,shank_id,run_dir,sessions,has_partial_output
121,30,0,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_030\shank_0,"['BG_046_03092025', 'BG_046_04092025', 'BG_046_08092025', 'BG_046_09092025', 'BG_046_12092025']",False
122,30,1,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_030\shank_1,"['BG_046_03092025', 'BG_046_04092025', 'BG_046_08092025', 'BG_046_09092025', 'BG_046_12092025']",False
123,30,2,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_030\shank_2,"['BG_046_03092025', 'BG_046_04092025', 'BG_046_08092025', 'BG_046_09092025', 'BG_046_12092025']",False
124,30,3,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_030\shank_3,"['BG_046_03092025', 'BG_046_04092025', 'BG_046_08092025', 'BG_046_09092025', 'BG_046_12092025']",False
125,31,0,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_031\shank_0,"['BG_046_04092025', 'BG_046_08092025', 'BG_046_09092025', 'BG_046_12092025', 'BG_046_15092025']",False
126,31,1,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_031\shank_1,"['BG_046_04092025', 'BG_046_08092025', 'BG_046_09092025', 'BG_046_12092025', 'BG_046_15092025']",False
127,31,2,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_031\shank_2,"['BG_046_04092025', 'BG_046_08092025', 'BG_046_09092025', 'BG_046_12092025', 'BG_046_15092025']",False
128,31,3,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_031\shank_3,"['BG_046_04092025', 'BG_046_08092025', 'BG_046_09092025', 'BG_046_12092025', 'BG_046_15092025']",False
129,32,0,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_032\shank_0,"['BG_046_08092025', 'BG_046_09092025', 'BG_046_12092025', 'BG_046_15092025', 'BG_046_16092025']",False
130,32,1,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_032\shank_1,"['BG_046_08092025', 'BG_046_09092025', 'BG_046_12092025', 'BG_046_15092025', 'BG_046_16092025']",False
132,32,3,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_032\shank_3,"['BG_046_08092025', 'BG_046_09092025', 'BG_046_12092025', 'BG_046_15092025', 'BG_046_16092025']",False
133,33,0,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_033\shank_0,"['BG_046_09092025', 'BG_046_12092025', 'BG_046_15092025', 'BG_046_16092025', 'BG_046_17092025']",False
134,33,1,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_033\shank_1,"['BG_046_09092025', 'BG_046_12092025', 'BG_046_15092025', 'BG_046_16092025', 'BG_046_17092025']",False
135,33,2,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_033\shank_2,"['BG_046_09092025', 'BG_046_12092025', 'BG_046_15092025', 'BG_046_16092025', 'BG_046_17092025']",False
136,33,3,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_033\shank_3,"['BG_046_09092025', 'BG_046_12092025', 'BG_046_15092025', 'BG_046_16092025', 'BG_046_17092025']",False
