panel,region,row_id,decile_median_width,onset_s,n_units
g,DMS,411,,-1.8125000000000007,1
g,DMS,412,,-1.8125000000000007,1
g,DMS,413,,-1.8125000000000007,1
g,DMS,414,,-1.8125000000000007,1
g,DMS,415,,-1.8125000000000007,1
g,DMS,416,,-1.8125000000000007,1
g,DMS,417,,-1.8125000000000007,1
g,DMS,418,,-1.8125000000000007,1
g,DMS,419,,-1.8125000000000007,1
g,DMS,420,,-1.8125000000000007,1
g,DMS,421,,-1.8125000000000007,1
g,DMS,422,,-1.8125000000000007,1
g,DMS,423,,-1.8125000000000007,1
g,DMS,424,,-1.7875000000000008,1
g,DMS,425,,-1.7875000000000008,1
g,DMS,426,,-1.7875000000000008,1
g,DMS,427,,-1.7875000000000008,1
g,DMS,428,,-1.7875000000000008,1
g,DMS,429,,-1.7875000000000008,1
g,DMS,430,,-1.7875000000000008,1
g,DMS,431,,-1.7875000000000008,1
g,DMS,432,,-1.7875000000000008,1
g,DMS,433,,-1.7875000000000008,1
g,DMS,434,,-1.7875000000000008,1
g,DMS,435,,-1.7875000000000008,1
g,DMS,436,,-1.7875000000000008,1
g,DMS,437,,-1.7875000000000008,1
g,DMS,438,,-1.7875000000000008,1
g,DMS,439,,-1.7875000000000008,1
g,DMS,440,,-1.7875000000000008,1
g,DMS,441,,-1.7875000000000008,1
g,DMS,442,,-1.7875000000000008,1
g,DMS,443,,-1.7875000000000008,1
g,DMS,444,,-1.7875000000000008,1
g,DMS,445,,-1.7875000000000008,1
g,DMS,446,,-1.7625000000000008,1
g,DMS,447,,-1.7625000000000008,1
g,DMS,448,,-1.7625000000000008,1
g,DMS,449,,-1.7625000000000008,1
g,DMS,450,,-1.7625000000000008,1
g,DMS,451,,-1.7625000000000008,1
g,DMS,452,,-1.7625000000000008,1
g,DMS,453,,-1.7625000000000008,1
g,DMS,454,,-1.7625000000000008,1
g,DMS,455,,-1.7625000000000008,1
g,DMS,456,,-1.7625000000000008,1
g,DMS,457,,-1.7625000000000008,1
g,DMS,458,,-1.7625000000000008,1
g,DMS,459,,-1.7625000000000008,1
g,DMS,460,,-1.7625000000000008,1
g,DMS,461,,-1.7625000000000008,1
g,DMS,462,,-1.7625000000000008,1
g,DMS,463,,-1.7625000000000008,1
g,DMS,464,,-1.7625000000000008,1
g,DMS,465,,-1.7625000000000008,1
g,DMS,466,,-1.7625000000000008,1
g,DMS,467,,-1.737500000000001,1
g,DMS,468,,-1.737500000000001,1
g,DMS,469,,-1.737500000000001,1
g,DMS,470,,-1.737500000000001,1
g,DMS,471,,-1.737500000000001,1
g,DMS,472,,-1.737500000000001,1
g,DMS,473,,-1.737500000000001,1
g,DMS,474,,-1.737500000000001,1
g,DMS,475,,-1.737500000000001,1
g,DMS,476,,-1.737500000000001,1
g,DMS,477,,-1.737500000000001,1
g,DMS,478,,-1.737500000000001,1
g,DMS,479,,-1.737500000000001,1
g,DMS,480,,-1.737500000000001,1
g,DMS,481,,-1.737500000000001,1
g,DMS,482,,-1.737500000000001,1
g,DMS,483,,-1.737500000000001,1
g,DMS,484,,-1.712500000000001,1
g,DMS,485,,-1.712500000000001,1
g,DMS,486,,-1.712500000000001,1
g,DMS,487,,-1.712500000000001,1
g,DMS,488,,-1.712500000000001,1
g,DMS,489,,-1.712500000000001,1
g,DMS,490,,-1.712500000000001,1
g,DMS,491,,-1.712500000000001,1
g,DMS,492,,-1.712500000000001,1
g,DMS,493,,-1.712500000000001,1
g,DMS,494,,-1.712500000000001,1
g,DMS,495,,-1.712500000000001,1
g,DMS,496,,-1.712500000000001,1
g,DMS,497,,-1.712500000000001,1
g,DMS,498,,-1.712500000000001,1
g,DMS,499,,-1.712500000000001,1
g,DMS,500,,-1.712500000000001,1
g,DMS,501,,-1.712500000000001,1
g,DMS,502,,-1.712500000000001,1
g,DMS,503,,-1.687500000000001,1
g,DMS,504,,-1.687500000000001,1
g,DMS,505,,-1.687500000000001,1
g,DMS,506,,-1.687500000000001,1
g,DMS,507,,-1.687500000000001,1
