subject,session,unit,n_fast,n_slow,pulse_fwhm_all,pulse_spread_all
BG_031,BG_031_070325,500,16068,16301,0.06774253507256045,0.2227013782014343
BG_031,BG_031_15042025,112,19979,19732,0.09407822823366793,0.2284926484763977
BG_031,BG_031_01052025,3,20010,20159,0.0888781084162159,0.20659906083196322
BG_031,BG_031_01052025,29,20010,20159,0.06569473724690486,0.2408596550988333
BG_031,BG_031_01052025,43,20010,20159,0.0758849401568375,0.23256129725554894
BG_031,BG_031_01052025,61,20010,20159,0.3039494829025924,0.20548916464647035
BG_031,BG_031_01052025,74,20010,20159,0.11478453326391169,0.20849756129381133
BG_031,BG_031_01052025,83,20010,20159,0.05985615118493881,0.23516737239591193
BG_031,BG_031_01052025,96,20010,20159,0.10282565226866398,0.2369009614903427
BG_031,BG_031_01052025,114,20010,20159,0.17178444457197972,0.22032082983807233
BG_031,BG_031_01052025,167,20010,20159,0.18259382121271517,0.20889172253017174
BG_031,BG_031_01052025,192,20010,20159,0.07113610595190271,0.28373855410083865
BG_031,BG_031_01052025,240,20010,20159,0.07703414131080555,0.29850047423230025
BG_031,BG_031_01052025,347,20010,20159,0.06646527269724244,0.23914154027915843
BG_031,BG_031_01052025,373,20010,20159,0.07456821299031458,0.2850643062577551
BG_031,BG_031_01052025,417,20010,20159,0.3088159583762224,0.22939159112234916
BG_031,BG_031_01052025,506,20010,20159,0.1153025141375843,0.24960446477980888
BG_031,BG_031_01052025,508,20010,20159,0.1489449048958031,0.17647792780283555
BG_031,BG_031_01052025,536,20010,20159,0.19040854671344243,0.1989978778216726
BG_031,BG_031_01052025,609,20010,20159,0.10046496029306551,0.2503604881812494
BG_031,BG_031_09052025,8,10519,10651,0.1418034646045252,0.27017778925184877
BG_031,BG_031_09052025,19,10519,10651,0.11790571032547381,0.260234849873
BG_031,BG_031_09052025,27,10519,10651,0.08703087520760013,0.20914090133383947
BG_031,BG_031_09052025,40,10519,10651,0.20349066609458327,0.2183746068222259
BG_031,BG_031_09052025,66,10519,10651,0.4041292742714262,0.23021167879362192
BG_031,BG_031_09052025,84,10519,10651,0.0679168118172579,0.2073040589867116
BG_031,BG_031_09052025,88,10519,10651,0.04823695371304182,0.2919920720215486
BG_031,BG_031_09052025,108,10519,10651,0.11020259947669231,0.18371072465125318
BG_031,BG_031_09052025,131,10519,10651,0.08947325804178155,0.21307038699234288
BG_031,BG_031_09052025,148,10519,10651,0.07262413835726339,0.2685163921557209
BG_031,BG_031_09052025,177,10519,10651,0.2027592694297604,0.20856553965070637
BG_031,BG_031_09052025,368,10519,10651,0.12239700956974572,0.21454890112333994
BG_031,BG_031_09052025,415,10519,10651,0.059631425487495865,0.2752023794329199
BG_031,BG_031_09052025,425,10519,10651,0.18142124854372435,0.229289175461215
BG_031,BG_031_09052025,452,10519,10651,0.08357584572672815,0.24511287021238443
BG_031,BG_031_09052025,473,10519,10651,0.10199772004821656,0.2300997788927809
BG_031,BG_031_09052025,479,10519,10651,0.1169668981922897,0.2549217492577293
BG_031,BG_031_09052025,482,10519,10651,0.05356846633107287,0.19992588097650785
BG_031,BG_031_09052025,531,10519,10651,0.17233113780509712,0.21783934106816208
BG_031,BG_031_19052025,35,5807,5900,0.11314879278087486,0.24884673033327612
BG_031,BG_031_19052025,61,5807,5900,0.08717237731261487,0.25401597526714603
BG_031,BG_031_19052025,113,5807,5900,0.07796522684218188,0.26294116797000777
BG_031,BG_031_19052025,170,5807,5900,0.23508086124797922,0.2555099445975448
BG_031,BG_031_19052025,194,5807,5900,0.09328509722790193,0.26600341124847054
BG_031,BG_031_19052025,369,5807,5900,0.12571612684005976,0.25314226614850815
BG_031,BG_031_19052025,581,5807,5900,0.04018342820101961,0.27487962872667543
BG_031,BG_031_09042025,35,14827,15039,0.06684343671352827,0.23069261217362064
BG_031,BG_031_09042025,37,14827,15039,0.06272546022591051,0.2416059887874745
BG_031,BG_031_09042025,73,14827,15039,0.15615826187894483,0.23256182710446333
BG_031,BG_031_09042025,74,14827,15039,0.19851249678530428,0.1808057619023736
BG_031,BG_031_09042025,113,14827,15039,0.061353788516146146,0.2571219116347134
BG_031,BG_031_09042025,125,14827,15039,0.2621325378891359,0.2098031146421456
BG_031,BG_031_09042025,155,14827,15039,0.13409040597603578,0.20234063506037722
BG_031,BG_031_09042025,187,14827,15039,0.09663919580135907,0.21365279633964343
BG_031,BG_031_09042025,266,14827,15039,0.058233353406904984,0.20658704708795322
BG_031,BG_031_09042025,365,14827,15039,0.13117141637525398,0.20760393994734416
BG_031,BG_031_09042025,376,14827,15039,0.16290346831709135,0.2508241476174366
BG_031,BG_031_09042025,423,14827,15039,0.06987768639167848,0.2167091099258984
BG_031,BG_031_16052025,4,11062,11067,0.11280258696705277,0.20298727918829562
BG_031,BG_031_16052025,12,11062,11067,0.06663798501537177,0.22903811128465087
BG_031,BG_031_16052025,59,11062,11067,0.15824069925074036,0.2431192347402535
BG_031,BG_031_16052025,60,11062,11067,0.12026964285708494,0.23916436466727625
BG_031,BG_031_16052025,84,11062,11067,0.060019809511650785,0.20542190563158483
BG_031,BG_031_16052025,97,11062,11067,0.1472645184392758,0.17369020034108973
BG_031,BG_031_16052025,313,11062,11067,0.07931159147345013,0.24676607377678836
BG_031,BG_031_16052025,343,11062,11067,0.029773247154292748,0.251029292871481
BG_031,BG_031_16052025,435,11062,11067,0.1165474604362581,0.22889277855743403
BG_031,BG_031_16052025,492,11062,11067,0.0533489526274733,0.23967480998500945
BG_031,BG_031_16042025,39,17752,17749,0.06663087383135442,0.28280584826676053
BG_031,BG_031_16042025,153,17752,17749,0.14906589033004583,0.22274204682533916
BG_031,BG_031_16042025,223,17752,17749,0.07042044641428123,0.2354169549548006
BG_031,BG_031_16042025,486,17752,17749,0.29798647344699825,0.19291862488831676
BG_031,BG_031_16042025,628,17752,17749,0.18532033371408613,0.24170985649019405
BG_031,BG_031_02042025,18,17754,17799,0.1631291422365725,0.16792680914635702
BG_031,BG_031_02042025,79,17754,17799,0.11475301388056401,0.20923206895807792
BG_031,BG_031_02042025,80,17754,17799,0.1644245747623047,0.1904840425106481
BG_031,BG_031_02042025,92,17754,17799,0.0878489192801252,0.24260938487176853
BG_031,BG_031_02042025,157,17754,17799,0.061562174649050616,0.21010353410223315
BG_031,BG_031_02042025,269,17754,17799,0.2186290109203777,0.17060433013645565
BG_031,BG_031_02042025,312,17754,17799,0.11583255872587556,0.22556043368490467
BG_031,BG_031_02042025,327,17754,17799,0.06388565797324053,0.2520521169683564
BG_031,BG_031_02042025,388,17754,17799,0.08301429019571119,0.1784587081889822
BG_031,BG_031_02042025,417,17754,17799,0.07283719715949316,0.23076137455873758
BG_031,BG_031_02042025,425,17754,17799,0.18023752118048086,0.19270681362184125
BG_031,BG_031_02042025,461,17754,17799,0.0351861124785503,0.2443915559503627
BG_031,BG_031_02042025,524,17754,17799,0.12887953323156845,0.22024951483872462
BG_031,BG_031_02042025,525,17754,17799,0.09732106753076536,0.21962259953427446
BG_031,BG_031_22052025,36,12081,12311,0.09661181968795102,0.24901880747001878
BG_031,BG_031_22052025,101,12081,12311,0.12919232951601006,0.20515820063286447
BG_031,BG_031_22052025,427,12081,12311,0.1862339238050295,0.19263865466806857
BG_031,BG_031_22052025,447,12081,12311,0.061774912730884285,0.26227800177041855
BG_031,BG_031_22052025,457,12081,12311,0.10331723316669045,0.23265703616283348
BG_031,BG_031_08042025,51,12250,12494,0.08060506257692085,0.2493211174551009
BG_031,BG_031_08042025,74,12250,12494,0.08597301479679431,0.24154650964127466
BG_031,BG_031_08042025,94,12250,12494,0.032573055706549225,0.22761343619802227
BG_031,BG_031_08042025,111,12250,12494,0.05061067837851263,0.255854370774416
BG_031,BG_031_08042025,148,12250,12494,0.09181494339499924,0.2510742898239472
BG_031,BG_031_08042025,203,12250,12494,0.07902737431297324,0.25223951312247456
BG_031,BG_031_08042025,217,12250,12494,0.1457821780620639,0.2168196140214384
BG_031,BG_031_08042025,239,12250,12494,0.08104860376220015,0.18878469801350464
BG_031,BG_031_08042025,261,12250,12494,0.21542074074732104,0.27184322025321
BG_031,BG_031_08042025,316,12250,12494,0.10897419508650641,0.25849338793385623
BG_031,BG_031_08042025,360,12250,12494,0.11230969789828671,0.21786836405577079
BG_031,BG_031_08042025,427,12250,12494,0.10659416843978775,0.25056511106304796
BG_031,BG_031_08042025,438,12250,12494,0.07041419756764872,0.22535406359175025
BG_031,BG_031_08042025,498,12250,12494,0.08710657450347942,0.21041827250851608
BG_031,BG_031_170325,14,20755,20880,0.05377607390448741,0.24866434231725504
BG_031,BG_031_170325,20,20755,20880,0.12588583670580938,0.2336402378712197
BG_031,BG_031_170325,78,20755,20880,0.12597693688369077,0.2468936126431728
BG_031,BG_031_170325,298,20755,20880,0.09689352696850823,0.24184974026397324
BG_031,BG_031_170325,303,20755,20880,0.17172199492556395,0.24389948656389104
BG_031,BG_031_170325,304,20755,20880,0.07257007016354178,0.22499248432063806
BG_031,BG_031_170325,386,20755,20880,0.10670623683538429,0.17230925237360173
BG_031,BG_031_170325,442,20755,20880,0.06998431809553973,0.16949328904975391
BG_031,BG_031_170325,522,20755,20880,0.050741720153480316,0.2561000575132435
BG_031,BG_031_180325,101,18052,18298,0.03682076237128959,0.26708871556259667
BG_031,BG_031_180325,114,18052,18298,0.08683356579614171,0.2195167052186418
BG_031,BG_031_180325,116,18052,18298,0.1134440411762686,0.2071434018249567
BG_031,BG_031_180325,226,18052,18298,0.10059106412883599,0.25284289711003266
BG_031,BG_031_180325,249,18052,18298,0.17106932525856955,0.25056534027797944
BG_031,BG_031_180325,341,18052,18298,0.1292819381776551,0.28739569373924423
BG_031,BG_031_180325,356,18052,18298,0.22388783259379472,0.19635292310018876
BG_031,BG_031_180325,383,18052,18298,0.12813648117194953,0.27070706183923865
BG_031,BG_031_180325,396,18052,18298,0.06331348556178226,0.20264322876532762
BG_031,BG_031_180325,398,18052,18298,0.06128575130202123,0.2281373638729854
BG_031,BG_031_180325,445,18052,18298,0.24591627387034712,0.20021050124538212
