n_trials,f_stimsens,f_impulsive,dwell_stimsens,dwell_impulsive,switch_rate,recovery,persistence,subject,region,sid,d_prime
628,0.028662420382165606,0.9713375796178344,3.6,101.66666666666667,0.01594896331738437,0.008210180623973728,0.7222222222222222,BG_046,DMS,26062025,
130,0.7153846153846154,0.2846153846153846,10.333333333333334,4.625,0.12403100775193798,0.21621621621621623,0.9130434782608695,BG_046,DMS,26082025,1.985815616390646
602,0.13953488372093023,0.8604651162790697,6.461538461538462,37.0,0.04326123128119801,0.025145067698259187,0.8452380952380952,BG_046,DMS,27062025,1.1078693836224265
373,0.48525469168900803,0.514745308310992,12.928571428571429,14.76923076923077,0.06989247311827956,0.06770833333333333,0.9277777777777778,BG_046,DMS,27082025,1.730244029828366
344,0.0,0.0,,,0.0,,,BG_046,DMS,28072025,
450,0.23555555555555555,0.76,4.608695652173913,15.545454545454545,0.10022271714922049,0.06432748538011696,0.7904761904761904,BG_046,DMS,28082025,1.5248295513160208
491,0.3665987780040733,0.6252545824847251,8.181818181818182,15.35,0.08775510204081632,0.06514657980456026,0.88268156424581,BG_046,DMS,29082025,1.6925986595614464
390,0.023076923076923078,0.16923076923076924,,,0.007712082262210797,0.015151515151515152,,BG_046,DMS,30062025,
523,0.7151051625239006,0.07648183556405354,22.0,5.0,0.06513409961685823,0.1794871794871795,0.9545454545454546,BG_039,DMS,01052025,1.4990101707450636
741,0.6477732793522267,0.16734143049932523,19.2,11.272727272727273,0.06621621621621622,0.08870967741935484,0.9479166666666666,BG_039,DMS,02042025,1.6509346028586247
426,0.2981220657276995,0.0,18.142857142857142,,0.03294117647058824,,0.9448818897637795,BG_039,DMS,02062025,1.2207650592317625
503,0.18091451292246521,0.0,10.11111111111111,,0.035856573705179286,,0.9010989010989011,BG_039,DMS,03062025,1.172740106189781
389,0.17737789203084833,0.7866323907455013,6.2727272727272725,25.5,0.059278350515463915,0.03278688524590164,0.8405797101449275,BG_039,DMS,06052025,1.0691039794407282
510,0.2196078431372549,0.07450980392156863,5.090909090909091,5.428571428571429,0.0962671905697446,0.10526315789473684,0.8108108108108109,BG_039,DMS,08042025,
428,0.7476635514018691,0.23130841121495327,22.857142857142858,8.25,0.06323185011709602,0.12121212121212122,0.9592476489028213,BG_039,DMS,08052025,2.0117530707693883
364,0.23901098901098902,0.0,17.4,,0.027548209366391185,,0.9425287356321839,BG_039,DMS,09042025,1.475289347202272
439,0.23690205011389523,0.0,17.333333333333332,,0.0273972602739726,,0.9423076923076923,BG_039,DMS,09062025,1.6020200009852652
371,0.15363881401617252,0.005390835579514825,5.7,,0.05405405405405406,,0.8245614035087719,BG_039,DMS,10042025,
451,0.14412416851441243,0.0,10.833333333333334,,0.02666666666666667,,0.9076923076923077,BG_039,DMS,10062025,
489,0.17995910020449898,0.0,17.6,,0.020491803278688523,,0.9431818181818182,BG_039,DMS,11062025,1.570644381501623
515,0.7106796116504854,0.08155339805825243,16.636363636363637,3.8181818181818183,0.08560311284046693,0.23809523809523808,0.9424657534246575,BG_039,DMS,12052025,2.2007804402357234
464,0.08189655172413793,0.0,4.75,,0.032397408207343416,,0.7894736842105263,BG_039,DMS,12062025,0.9434121640879208
532,0.07518796992481203,0.0,5.0,,0.030131826741996232,,0.8,BG_039,DMS,13062025,
641,0.6833073322932918,0.24804992199687986,18.25,9.9375,0.0734375,0.10062893081761007,0.9473684210526315,BG_039,DMS,14052025,1.9665146362187924
636,0.6320754716981132,0.0,26.8,,0.04566929133858268,,0.9650872817955112,BG_039,DMS,15042025,1.9933395314317075
663,0.7043740573152338,0.1583710407239819,15.064516129032258,7.0,0.09516616314199396,0.125,0.9336188436830836,BG_039,DMS,16042025,1.8642548738219635
555,0.7567567567567568,0.1927927927927928,21.0,5.944444444444445,0.07220216606498195,0.1588785046728972,0.954653937947494,BG_039,DMS,16052025,2.016732989198034
