file,n_rows,domains,joinable_to_manifest,rows_lost_on_join
data\cache\state_tags\BG_039\14052025.csv,667,{'8digit': 667},True,667
data\cache\state_tags\BG_039\15042025.csv,636,{'8digit': 636},True,636
data\cache\state_tags\BG_039\16042025.csv,664,{'8digit': 664},True,664
data\cache\state_tags\BG_039\16052025.csv,556,{'8digit': 556},True,556
data\cache\state_tags\BG_039\16062025.csv,512,{'8digit': 512},True,512
data\cache\state_tags\BG_039\17062025.csv,439,{'8digit': 439},True,439
data\cache\state_tags\BG_039\18062025.csv,286,{'8digit': 286},True,286
data\cache\state_tags\BG_039\20052025.csv,1068,{'8digit': 1068},True,1068
data\cache\state_tags\BG_039\22052025.csv,519,{'8digit': 519},True,519
data\cache\state_tags\BG_039\23042025.csv,413,{'8digit': 413},True,413
data\cache\state_tags\BG_039\25042025.csv,376,{'8digit': 376},True,376
data\cache\state_tags\BG_039\270325.csv,248,{'6digit': 248},True,248
data\cache\state_tags\BG_039\280325.csv,370,{'6digit': 370},True,370
data\cache\state_tags\BG_039\29042025.csv,478,{'8digit': 478},True,478
data\cache\state_tags\BG_039\29052025.csv,516,{'8digit': 516},True,516
data\cache\state_tags\BG_040\02052025.csv,499,{'8digit': 499},True,499
data\cache\state_tags\BG_040\10062025.csv,494,{'8digit': 494},True,494
data\cache\state_tags\BG_040\12062025.csv,476,{'8digit': 476},True,476
data\cache\state_tags\BG_040\13052025.csv,479,{'8digit': 479},True,479
data\cache\state_tags\BG_040\15052025.csv,639,{'8digit': 639},True,639
data\cache\state_tags\BG_040\16062025.csv,486,{'8digit': 486},True,486
data\cache\state_tags\BG_040\18062025.csv,541,{'8digit': 541},True,541
data\cache\state_tags\BG_040\19052025.csv,547,{'8digit': 547},True,547
data\cache\state_tags\BG_040\27062025.csv,591,{'8digit': 591},True,0
data\cache\state_tags\BG_040\30052025.csv,555,{'8digit': 555},True,555
data\cache\state_tags\BG_041\02052025.csv,461,{'8digit': 461},True,461
data\cache\state_tags\BG_041\09052025.csv,435,{'8digit': 435},True,435
data\cache\state_tags\BG_041\10062025.csv,608,{'8digit': 608},True,608
data\cache\state_tags\BG_041\12062025.csv,583,{'8digit': 583},True,583
data\cache\state_tags\BG_041\13052025.csv,537,{'8digit': 537},True,537
data\cache\state_tags\BG_041\15052025.csv,553,{'8digit': 553},True,553
data\cache\state_tags\BG_041\16062025.csv,586,{'8digit': 586},True,586
data\cache\state_tags\BG_041\18062025.csv,583,{'8digit': 583},True,583
data\cache\state_tags\BG_041\19052025.csv,519,{'8digit': 519},True,519
data\cache\state_tags\BG_041\23052025.csv,601,{'8digit': 601},True,601
data\cache\state_tags\BG_041\28042025.csv,371,{'8digit': 371},True,371
data\cache\state_tags\BG_041\28052025.csv,566,{'8digit': 566},True,566
data\cache\state_tags\BG_041\30042025.csv,364,{'8digit': 364},True,364
data\cache\state_tags\BG_041\30052025.csv,534,{'8digit': 534},True,534
data\cache\state_tags\BG_041\30062025.csv,505,{'8digit': 505},True,0
data\cache\state_tags\BG_046\01072025.csv,634,{'8digit': 634},True,0
data\cache\state_tags\BG_046\01092025.csv,559,{'8digit': 559},True,0
data\cache\state_tags\BG_046\02072025.csv,633,{'8digit': 633},True,0
data\cache\state_tags\BG_046\02092025.csv,557,{'8digit': 557},True,0
data\cache\state_tags\BG_046\03072025.csv,537,{'8digit': 537},True,0
data\cache\state_tags\BG_046\03092025.csv,557,{'8digit': 557},True,0
data\cache\state_tags\BG_046\04072025.csv,461,{'8digit': 461},True,0
data\cache\state_tags\BG_046\04082025.csv,303,{'8digit': 303},True,0
data\cache\state_tags\BG_046\04092025.csv,655,{'8digit': 655},True,0
data\cache\state_tags\BG_046\05082025.csv,461,{'8digit': 461},True,0
data\cache\state_tags\BG_046\05092025.csv,529,{'8digit': 529},True,0
data\cache\state_tags\BG_046\08072025.csv,459,{'8digit': 459},True,0
data\cache\state_tags\BG_046\08092025.csv,705,{'8digit': 705},True,0
data\cache\state_tags\BG_046\09072025.csv,502,{'8digit': 502},True,0
data\cache\state_tags\BG_046\09092025.csv,551,{'8digit': 551},True,0
data\cache\state_tags\BG_046\10072025.csv,520,{'8digit': 520},True,0
data\cache\state_tags\BG_046\10092025.csv,542,{'8digit': 542},True,0
data\cache\state_tags\BG_046\11092025.csv,538,{'8digit': 538},True,0
data\cache\state_tags\BG_046\12082025.csv,652,{'8digit': 652},True,0
data\cache\state_tags\BG_046\12092025.csv,541,{'8digit': 541},True,0
data\cache\state_tags\BG_046\13082025.csv,483,{'8digit': 483},True,0
data\cache\state_tags\BG_046\14072025.csv,723,{'8digit': 723},True,0
data\cache\state_tags\BG_046\14082025.csv,998,{'8digit': 998},True,0
data\cache\state_tags\BG_046\15072025.csv,460,{'8digit': 460},True,0
data\cache\state_tags\BG_046\15082025.csv,653,{'8digit': 653},True,0
data\cache\state_tags\BG_046\15092025.csv,619,{'8digit': 619},True,0
data\cache\state_tags\BG_046\16092025.csv,584,{'8digit': 584},True,0
